iter	Passed	Remaining
0	0	90
1	1	89
2	2	91
3	3	84
4	4	82
5	5	79
6	6	80
7	6	76
8	7	74
9	8	74
10	9	74
11	10	73
12	10	72
13	11	71
14	12	70
15	13	68
16	13	67
17	14	67
18	15	66
19	16	65
20	17	64
21	17	63
22	18	62
23	19	62
24	20	60
25	21	59
26	21	59
27	22	58
28	23	57
29	24	56
30	24	55
31	25	54
32	26	53
33	27	52
34	27	51
35	28	50
36	29	49
37	30	49
38	31	49
39	32	48
40	32	47
41	33	45
42	33	44
43	34	44
44	35	43
45	36	42
46	37	41
47	37	40
48	38	40
49	39	39
50	40	38
51	40	37
52	41	37
53	42	36
54	42	35
55	43	34
56	44	33
57	44	32
58	45	31
59	46	30
60	47	30
61	48	29
62	48	28
63	49	27
64	50	27
65	51	26
66	51	25
67	52	24
68	53	23
69	53	23
70	54	22
71	55	21
72	56	20
73	56	19
74	57	19
75	58	18
76	59	17
77	60	16
78	60	16
79	61	15
80	62	14
81	63	13
82	63	13
83	64	12
84	65	11
85	66	10
86	66	10
87	67	9
88	68	8
89	69	7
90	69	6
91	70	6
92	71	5
93	71	4
94	72	3
95	73	3
96	74	2
97	75	1
98	75	0
99	76	0
