iter	Passed	Remaining
0	0	952
1	1	904
2	2	850
3	3	857
4	4	924
5	5	935
6	6	938
7	7	946
8	8	955
9	9	954
10	10	961
11	11	965
12	12	966
13	13	965
14	14	979
15	15	981
16	17	1002
17	18	1004
18	19	1000
19	20	997
20	21	995
21	22	995
22	23	996
23	24	994
24	25	991
25	26	988
26	27	984
27	28	986
28	29	1003
29	31	1003
30	32	1005
31	33	1001
32	34	1005
33	35	1005
34	36	1010
35	37	1008
36	38	1006
37	39	1006
38	40	1005
39	41	1003
40	43	1007
41	44	1004
42	45	1002
43	46	1003
44	47	1003
45	48	1002
46	49	1000
47	50	999
48	51	998
49	52	996
50	53	994
51	54	992
52	55	996
53	56	994
54	57	995
55	58	992
56	59	991
57	61	992
58	62	990
59	62	982
60	63	974
61	63	967
62	64	961
63	65	955
64	65	948
65	66	941
66	67	935
67	67	931
68	68	926
69	69	920
70	70	916
71	70	912
72	71	908
73	72	904
74	72	898
75	73	895
76	74	892
77	75	887
78	75	883
79	76	881
80	77	877
81	77	872
82	78	864
83	78	859
84	79	854
85	80	853
86	80	849
87	81	845
88	82	843
89	83	839
90	83	835
91	84	831
92	84	827
93	85	824
94	86	824
95	87	821
96	87	818
97	88	816
98	89	813
99	90	810
100	90	807
101	91	804
102	92	801
103	92	800
104	93	798
105	94	795
106	95	793
107	95	790
108	96	787
109	96	784
110	97	781
111	98	778
112	99	778
113	100	780
114	101	779
115	101	776
116	102	773
117	103	770
118	103	768
119	104	765
120	105	763
121	105	761
122	106	759
123	107	757
124	107	754
125	108	752
126	108	748
127	109	746
128	110	743
129	110	741
130	111	739
131	112	738
132	113	736
133	113	734
134	114	732
135	115	731
136	115	729
137	116	727
138	117	724
139	117	723
140	118	723
141	119	720
142	120	719
143	120	717
144	121	716
145	122	714
146	122	712
147	123	709
148	124	708
149	124	707
150	125	706
151	126	704
152	126	702
153	127	700
154	128	698
155	128	696
156	129	694
157	129	692
158	130	692
159	131	691
160	132	688
161	132	686
162	133	684
163	133	682
164	134	680
165	135	678
166	135	676
167	136	675
168	137	674
169	137	673
170	138	671
171	139	670
172	139	668
173	140	666
174	140	664
175	141	662
176	142	660
177	143	660
178	144	661
